name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Abeokuta, Ogun, Nigeria",2023-01-25,95.0,77.5,84.7,107.4,77.5,92.3,76.3,77.6,0.0,0,0.0,,0,0,18.6,11.4,181.8,1009.7,48.2,5.3,240.2,20.8,8,30,2023-01-25T07:05:20,2023-01-25T18:52:40,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-26,95.0,78.0,84.9,107.5,78.0,93.7,77.0,78.6,0.0,0,0.0,rain,0,0,23.3,13.9,200.5,1009.5,47.8,5.5,219.1,18.9,9,60,2023-01-26T07:05:26,2023-01-26T18:53:02,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-27,95.8,78.7,85.1,109.2,78.7,94.0,77.1,79.0,0.012,100,4.17,rain,0,0,24.2,10.8,205.2,1009.4,60.5,5.7,222.9,19.2,8,60,2023-01-27T07:05:30,2023-01-27T18:53:23,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-28,91.6,73.7,82.5,103.4,73.7,88.2,76.1,82.4,0.236,100,4.17,rain,0,0,19.5,16.1,205.9,1010.4,53.6,5.8,187.7,16.2,7,60,2023-01-28T07:05:34,2023-01-28T18:53:43,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-29,93.2,77.8,83.3,105.0,77.8,88.5,75.5,78.9,0.236,100,4.17,rain,0,0,18.3,9.9,216.0,1010.4,51.1,6.2,203.8,17.4,8,30,2023-01-29T07:05:36,2023-01-29T18:54:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-30,93.2,75.5,83.6,102.8,75.5,89.8,75.3,77.8,0.059,100,4.17,rain,0,0,22.6,9.0,201.5,1010.6,52.0,6.0,220.2,18.8,8,30,2023-01-30T07:05:38,2023-01-30T18:54:22,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-01-31,92.2,76.9,83.4,102.7,76.9,90.1,76.2,79.9,0.0,0,0.0,,0,0,17.2,11.4,221.6,1011.5,50.2,5.5,224.5,19.5,8,30,2023-01-31T07:05:38,2023-01-31T18:54:40,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-02-01,93.2,75.5,83.8,105.0,75.5,89.1,74.9,77.1,0.0,0,0.0,,0,0,23.5,10.3,186.5,1011.2,47.7,5.8,252.6,21.9,9,30,2023-02-01T07:05:38,2023-02-01T18:54:58,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-02-02,93.7,77.7,84.4,105.4,77.7,92.1,76.2,77.9,0.0,0,0.0,rain,0,0,24.6,10.3,195.5,1011.6,51.6,5.7,214.4,18.7,8,30,2023-02-02T07:05:37,2023-02-02T18:55:15,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-02-03,94.1,78.4,84.5,108.0,78.4,93.2,77.1,79.8,0.0,0,0.0,,0,0,19.2,9.2,204.5,1011.5,49.0,6.3,225.1,19.4,9,75,2023-02-03T07:05:34,2023-02-03T18:55:31,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,remote,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-02-04,93.2,77.0,84.6,107.5,77.0,93.3,77.4,80.5,0.0,0,0.0,,0,0,21.0,12.8,199.6,1011.3,53.7,5.8,246.2,21.2,9,60,2023-02-04T07:05:31,2023-02-04T18:55:47,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNIB,DNMM,65201099999,65100099999,65208099999"
"Abeokuta, Ogun, Nigeria",2023-02-05,95.0,79.9,85.5,107.6,79.9,95.7,77.7,78.8,0.0,0,0.0,rain,0,0,19.2,10.3,205.8,1011.0,58.7,7.0,225.8,19.3,9,60,2023-02-05T07:05:27,2023-02-05T18:56:01,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999,65208099999"
